"
date","share_sigma_mean
","index_sigma
","rolling_cov_mean
","share_sigma_mean_p
","index_sigma_p
","rolling_cov_mean_p
","inday_pct
","day_pct
"
20210104,0.037281,0.012968,0.000045,40.0,20.0,20.0,0.014081,0.016090
20210105,0.037749,0.013170,0.000044,40.0,20.0,20.0,0.015695,0.011989
20210106,0.038337,0.013780,0.000046,40.0,20.0,40.0,-0.000367,0.001841
20210107,0.039041,0.013842,0.000051,40.0,20.0,40.0,0.004896,0.004911
20210108,0.039976,0.012922,0.000050,40.0,20.0,40.0,-0.003675,-0.002603
20210111,0.040425,0.012999,0.000054,60.0,20.0,40.0,-0.014434,-0.013428
20210112,0.040556,0.013349,0.000055,60.0,20.0,40.0,0.025666,0.021714
20210113,0.040964,0.014535,0.000057,60.0,40.0,40.0,-0.008195,-0.006620
20210114,0.041684,0.015101,0.000057,60.0,40.0,40.0,-0.009161,-0.013259
20210115,0.042015,0.015409,0.000058,60.0,40.0,40.0,0.001460,0.000884
20210118,0.042488,0.015381,0.000064,60.0,40.0,40.0,0.016262,0.013456
20210119,0.042921,0.015696,0.000062,60.0,40.0,40.0,-0.011177,-0.010647
20210120,0.043131,0.015761,0.000055,60.0,40.0,40.0,0.008017,0.008479
20210121,0.042978,0.015430,0.000056,60.0,40.0,40.0,0.011839,0.013841
20210122,0.042946,0.015517,0.000051,60.0,40.0,20.0,0.000988,0.000106
20210125,0.042899,0.015300,0.000053,60.0,40.0,40.0,0.004114,0.002836
20210126,0.043097,0.015270,0.000053,60.0,40.0,40.0,-0.014565,-0.018769
20210127,0.042994,0.015984,0.000053,60.0,40.0,40.0,0.003595,0.002503
20210128,0.043126,0.016376,0.000054,60.0,40.0,40.0,-0.011335,-0.024199
20210129,0.043477,0.016644,0.000052,60.0,40.0,40.0,-0.014860,-0.008771
20210201,0.043991,0.016465,0.000047,60.0,40.0,20.0,0.009946,0.009298
20210202,0.044052,0.016569,0.000048,60.0,40.0,20.0,0.011433,0.013129
20210203,0.043940,0.016122,0.000049,60.0,40.0,20.0,-0.006007,-0.006220
20210204,0.043999,0.016468,0.000045,60.0,40.0,20.0,-0.003278,-0.008077
20210205,0.043440,0.016356,0.000046,60.0,40.0,20.0,-0.008657,-0.005647
20210208,0.043379,0.016303,0.000040,60.0,40.0,20.0,0.010160,0.013166
20210209,0.042911,0.016170,0.000046,60.0,40.0,20.0,0.018800,0.021700
20210210,0.042753,0.015706,0.000045,60.0,40.0,20.0,0.012565,0.015845
20210218,0.042651,0.016922,0.000058,60.0,60.0,40.0,-0.016314,0.002031
20210219,0.042761,0.017526,0.000070,60.0,60.0,60.0,0.012288,0.007893
20210222,0.043656,0.017792,0.000066,60.0,60.0,60.0,-0.021252,-0.019018
20210223,0.043672,0.018884,0.000067,60.0,60.0,60.0,0.004142,-0.004067
20210224,0.043643,0.019185,0.000067,60.0,60.0,60.0,-0.020445,-0.019292
20210225,0.043636,0.019153,0.000066,60.0,60.0,60.0,-0.008825,0.000468
20210226,0.044112,0.020220,0.000065,60.0,60.0,60.0,0.001391,-0.019589
20210301,0.043767,0.020392,0.000069,60.0,60.0,60.0,0.010423,0.018885
20210302,0.043394,0.020876,0.000068,60.0,80.0,60.0,-0.015268,-0.010109
20210303,0.043141,0.020906,0.000070,60.0,80.0,60.0,0.019716,0.016512
20210304,0.042795,0.020963,0.000069,60.0,80.0,60.0,-0.016653,-0.025672
20210305,0.042616,0.021818,0.000063,60.0,80.0,40.0,0.013527,-0.000720
20210308,0.041967,0.022345,0.000068,60.0,80.0,60.0,-0.035242,-0.028726
20210309,0.042590,0.024168,0.000080,60.0,80.0,60.0,-0.021036,-0.023744
20210310,0.042713,0.023993,0.000079,60.0,80.0,60.0,-0.012108,0.000888
20210311,0.042356,0.023894,0.000077,60.0,80.0,60.0,0.021528,0.024505
20210312,0.041811,0.024747,0.000073,60.0,80.0,60.0,-0.000694,0.003096
20210315,0.041298,0.024812,0.000073,60.0,80.0,60.0,-0.010999,-0.015917
20210316,0.041054,0.024567,0.000071,60.0,80.0,60.0,0.006325,0.008905
20210317,0.040926,0.023959,0.000070,60.0,80.0,60.0,0.007944,0.005124
20210318,0.040493,0.022693,0.000060,40.0,80.0,40.0,0.004859,0.006503
20210319,0.040256,0.022354,0.000048,40.0,80.0,40.0,-0.005790,-0.018881
20210322,0.039068,0.021867,0.000051,40.0,80.0,40.0,0.011870,0.012388
20210323,0.038960,0.021365,0.000053,40.0,80.0,40.0,-0.010830,-0.010775
20210324,0.039152,0.021191,0.000054,40.0,80.0,40.0,-0.009332,-0.014569
20210325,0.039235,0.021295,0.000054,40.0,80.0,40.0,0.004428,-0.000172
20210326,0.038565,0.020469,0.000056,40.0,60.0,40.0,0.016522,0.020251
20210329,0.038483,0.020821,0.000048,40.0,60.0,40.0,-0.000805,0.001916
20210330,0.038220,0.020269,0.000048,40.0,60.0,40.0,0.006410,0.005018
20210331,0.038399,0.019992,0.000045,40.0,60.0,20.0,-0.003993,-0.005442
20210401,0.038380,0.019617,0.000044,40.0,60.0,20.0,0.008378,0.009938
20210402,0.038133,0.018478,0.000043,40.0,60.0,20.0,0.003979,0.006741
20210406,0.037626,0.017542,0.000042,40.0,60.0,20.0,-0.002389,0.000506
20210407,0.036418,0.014441,0.000030,20.0,20.0,0.0,-0.003950,-0.003295
20210408,0.035883,0.014439,0.000027,20.0,20.0,0.0,0.003784,-0.000046
20210409,0.035300,0.014092,0.000020,20.0,20.0,0.0,-0.007568,-0.009336
20210412,0.035081,0.013142,0.000024,20.0,20.0,0.0,-0.016026,-0.016956
20210413,0.035274,0.013356,0.000025,20.0,20.0,0.0,-0.001930,-0.002644
20210414,0.035343,0.013095,0.000024,20.0,20.0,0.0,0.010140,0.010757
20210415,0.035296,0.013110,0.000024,20.0,20.0,0.0,-0.002418,-0.004773
20210416,0.035306,0.012960,0.000028,20.0,20.0,0.0,0.004739,0.007070
20210419,0.035446,0.012812,0.000030,20.0,20.0,0.0,0.021073,0.020865
20210420,0.035463,0.013377,0.000026,20.0,20.0,0.0,0.002002,-0.001309
20210421,0.035142,0.012996,0.000024,20.0,20.0,0.0,0.006528,0.001015
20210422,0.034492,0.012277,0.000022,20.0,0.0,0.0,-0.002436,0.000748
20210423,0.034081,0.011662,0.000023,0.0,0.0,0.0,0.004702,0.004316
20210426,0.034283,0.011714,0.000021,20.0,0.0,0.0,-0.011837,-0.008513
20210427,0.034403,0.011443,0.000022,20.0,0.0,0.0,0.001115,0.000480
20210428,0.034550,0.011403,0.000021,20.0,0.0,0.0,0.008502,0.005985
20210429,0.034536,0.011435,0.000021,20.0,0.0,0.0,0.003752,0.004357
20210430,0.034673,0.011476,0.000022,20.0,0.0,0.0,-0.002945,-0.005098
20210506,0.034922,0.011463,0.000022,20.0,0.0,0.0,-0.003934,-0.006177
20210507,0.035117,0.011443,0.000020,20.0,0.0,0.0,-0.013721,-0.011782
20210510,0.035374,0.011692,0.000020,20.0,0.0,0.0,0.000496,0.001735
20210511,0.035632,0.011853,0.000020,20.0,0.0,0.0,0.010076,0.003398
20210512,0.035710,0.011894,0.000021,20.0,0.0,0.0,0.010672,0.007016
20210513,0.035708,0.011578,0.000019,20.0,0.0,0.0,0.000336,-0.009324
20210514,0.035444,0.010997,0.000020,20.0,0.0,0.0,0.015904,0.018695
20210517,0.035597,0.011551,0.000020,20.0,0.0,0.0,0.008919,0.008930
20210518,0.035721,0.011463,0.000020,40.0,0.0,0.0,0.001615,0.001861
20210519,0.035656,0.011395,0.000016,20.0,0.0,0.0,0.000956,-0.001793
20210520,0.035467,0.011193,0.000013,20.0,0.0,0.0,0.003029,0.000351
20210521,0.035423,0.010547,0.000013,20.0,0.0,0.0,-0.007695,-0.005621
20210524,0.035631,0.010716,0.000014,20.0,0.0,0.0,0.004719,0.005107
20210525,0.035771,0.010748,0.000014,40.0,0.0,0.0,0.020952,0.022280
20210526,0.035864,0.011674,0.000013,40.0,0.0,0.0,0.000357,0.001400
20210527,0.035575,0.011488,0.000013,20.0,0.0,0.0,0.006732,0.005579
20210528,0.035324,0.011054,0.000013,20.0,0.0,0.0,-0.002530,-0.001941
20210531,0.035054,0.011082,0.000014,20.0,0.0,0.0,0.006909,0.007696
20210601,0.034932,0.011131,0.000014,20.0,0.0,0.0,0.004623,0.002793
20210602,0.034798,0.011167,0.000014,20.0,0.0,0.0,-0.010492,-0.010039
20210603,0.034593,0.011355,0.000014,20.0,0.0,0.0,-0.003964,-0.004575
20210604,0.034407,0.011672,0.000014,0.0,0.0,0.0,0.009288,0.004920
20210607,0.034123,0.011264,0.000014,0.0,0.0,0.0,0.000868,0.001950
20210608,0.033890,0.011074,0.000014,0.0,0.0,0.0,-0.007030,-0.007064
20210609,0.033943,0.011342,0.000013,0.0,0.0,0.0,0.002504,0.001405
20210610,0.033803,0.011281,0.000012,0.0,0.0,0.0,0.008981,0.008652
20210611,0.033668,0.011180,0.000011,0.0,0.0,0.0,-0.008289,-0.007150
20210615,0.033851,0.011060,0.000011,0.0,0.0,0.0,-0.009376,-0.009762
20210616,0.033949,0.011306,0.000013,0.0,0.0,0.0,-0.016815,-0.017645
20210617,0.034226,0.012050,0.000020,0.0,20.0,0.0,0.008985,0.007930
20210618,0.034261,0.012225,0.000019,0.0,20.0,0.0,0.004516,0.004619
20210621,0.034382,0.012221,0.000021,0.0,20.0,0.0,0.006268,0.003739
20210622,0.034506,0.012179,0.000019,20.0,20.0,0.0,0.003458,0.006089
20210623,0.034625,0.012031,0.000018,20.0,20.0,0.0,0.005409,0.006092
20210624,0.034694,0.011115,0.000019,20.0,0.0,0.0,-0.003670,-0.002503
20210625,0.034903,0.011096,0.000018,20.0,0.0,0.0,0.011152,0.011544
20210628,0.035015,0.011255,0.000017,20.0,0.0,0.0,0.002916,0.004678
20210629,0.035064,0.011211,0.000018,20.0,0.0,0.0,-0.009810,-0.009209
20210630,0.035023,0.011237,0.000018,20.0,0.0,0.0,0.008111,0.008416
20210701,0.035163,0.011364,0.000020,20.0,0.0,0.0,-0.008063,-0.005536
20210702,0.035576,0.011566,0.000020,20.0,0.0,0.0,-0.013819,-0.019752
20210705,0.035735,0.011639,0.000023,40.0,0.0,20.0,0.005774,0.005881
20210706,0.035948,0.011766,0.000021,40.0,20.0,20.0,-0.002893,-0.001836
20210707,0.035976,0.011789,0.000022,40.0,20.0,20.0,0.018453,0.012476
20210708,0.036069,0.012563,0.000023,40.0,20.0,20.0,-0.007571,-0.005622
20210709,0.036317,0.013052,0.000023,40.0,20.0,20.0,0.005283,0.000546
20210712,0.036539,0.013344,0.000025,40.0,20.0,20.0,0.008042,0.015261
20210713,0.036649,0.013160,0.000023,40.0,20.0,20.0,0.004413,0.003626
20210714,0.036437,0.012842,0.000022,40.0,20.0,20.0,-0.008141,-0.010594
20210715,0.036574,0.012535,0.000023,40.0,20.0,20.0,0.010812,0.007961
20210716,0.036594,0.012543,0.000022,40.0,20.0,20.0,-0.006878,-0.008488
20210719,0.036750,0.012733,0.000020,40.0,20.0,0.0,0.002112,0.000479
20210720,0.036709,0.012635,0.000020,40.0,20.0,0.0,0.008711,0.001315
20210721,0.036775,0.012874,0.000022,40.0,20.0,20.0,0.008792,0.012013
20210722,0.036890,0.012970,0.000021,40.0,20.0,20.0,0.002582,0.003889
20210723,0.037054,0.012942,0.000024,40.0,20.0,20.0,-0.010036,-0.011000
20210726,0.037776,0.014045,0.000029,40.0,40.0,20.0,-0.020522,-0.023780
20210727,0.038480,0.015240,0.000035,40.0,40.0,20.0,-0.031431,-0.031128
20210728,0.040034,0.018084,0.000043,60.0,80.0,40.0,0.002205,-0.006480
20210729,0.040466,0.018697,0.000053,60.0,80.0,60.0,0.007843,0.025000
20210730,0.040416,0.018585,0.000055,60.0,80.0,60.0,0.000740,-0.001992
20210802,0.041094,0.018534,0.000059,60.0,80.0,60.0,0.023016,0.021394
20210803,0.041675,0.018868,0.000059,60.0,80.0,60.0,-0.000948,-0.004873
20210804,0.042080,0.018723,0.000060,80.0,80.0,60.0,0.015671,0.014177
20210805,0.042174,0.018350,0.000061,80.0,80.0,60.0,-0.000794,-0.005512
20210806,0.042172,0.018015,0.000060,80.0,80.0,60.0,-0.002368,-0.001836
20210809,0.042169,0.017788,0.000060,80.0,60.0,60.0,0.013584,0.008301
20210810,0.042383,0.017960,0.000061,80.0,80.0,60.0,0.010691,0.008889
20210811,0.042393,0.018086,0.000060,80.0,80.0,60.0,0.001489,0.000779
20210812,0.042213,0.017821,0.000058,80.0,80.0,60.0,-0.000229,-0.003018
20210813,0.042125,0.017798,0.000058,80.0,80.0,60.0,0.000394,-0.003338
20210816,0.042160,0.017668,0.000058,80.0,60.0,60.0,-0.002538,-0.004291
20210817,0.042440,0.017958,0.000072,80.0,80.0,80.0,-0.022118,-0.023059
20210818,0.042978,0.018434,0.000071,80.0,80.0,80.0,0.010270,0.010108
20210819,0.043131,0.018470,0.000070,80.0,80.0,80.0,0.000236,-0.001561
20210820,0.043160,0.018692,0.000068,80.0,80.0,80.0,-0.004980,-0.012026
20210823,0.042752,0.017840,0.000073,80.0,80.0,80.0,0.015317,0.018585
20210824,0.042561,0.017246,0.000063,80.0,60.0,80.0,0.008430,0.009658
20210825,0.041098,0.013646,0.000048,60.0,40.0,40.0,0.005290,0.005299
20210826,0.040615,0.012936,0.000042,60.0,20.0,40.0,-0.013730,-0.014337
20210827,0.040583,0.013434,0.000042,60.0,40.0,40.0,0.006637,0.004139
20210830,0.040406,0.013371,0.000036,60.0,40.0,40.0,-0.002061,0.000990
20210831,0.040225,0.012892,0.000036,60.0,20.0,40.0,0.001275,-0.000622
20210901,0.040508,0.013254,0.000034,60.0,40.0,20.0,-0.000060,0.000454
20210902,0.040988,0.012950,0.000034,60.0,20.0,20.0,0.008411,0.006355
20210903,0.041485,0.013152,0.000034,60.0,40.0,20.0,-0.006732,-0.005279
20210906,0.041785,0.013124,0.000034,60.0,40.0,20.0,0.015798,0.016286
20210907,0.041703,0.013400,0.000035,60.0,40.0,40.0,0.014101,0.014012
20210908,0.041741,0.013586,0.000035,60.0,40.0,40.0,0.000165,-0.000033
20210909,0.041854,0.013578,0.000036,60.0,40.0,40.0,0.003977,0.001793
20210910,0.041947,0.013449,0.000037,60.0,40.0,40.0,0.005279,0.004357
20210913,0.042053,0.013444,0.000037,60.0,40.0,40.0,0.000541,0.000235
20210914,0.041970,0.013170,0.000025,60.0,40.0,20.0,-0.009181,-0.010229
20210915,0.041758,0.012290,0.000025,60.0,20.0,20.0,0.000610,-0.001784
20210916,0.041959,0.012247,0.000030,60.0,20.0,20.0,-0.018038,-0.017412
20210917,0.042381,0.012915,0.000030,80.0,20.0,20.0,0.006034,0.003566
20210922,0.042585,0.013002,0.000020,80.0,40.0,0.0,0.014219,-0.000540
20210923,0.042565,0.013243,0.000021,80.0,40.0,20.0,-0.001288,0.005049
20210924,0.042829,0.013201,0.000027,80.0,40.0,20.0,-0.006406,-0.007877
20210927,0.043656,0.013487,0.000042,80.0,40.0,40.0,-0.014569,-0.011048
20210928,0.044378,0.013532,0.000042,80.0,40.0,40.0,0.003953,0.001558
20210929,0.044019,0.013476,0.000058,80.0,40.0,60.0,-0.011933,-0.019691
20210930,0.043802,0.013444,0.000067,80.0,40.0,80.0,0.011508,0.014893
20211008,0.043830,0.014113,0.000072,80.0,60.0,80.0,-0.003200,0.008008
20211011,0.043719,0.014125,0.000070,80.0,60.0,80.0,-0.003925,-0.001976
20211012,0.043335,0.014274,0.000074,80.0,60.0,80.0,-0.012828,-0.015534
20211013,0.043048,0.014531,0.000071,80.0,60.0,80.0,0.009785,0.009667
20211014,0.043037,0.014068,0.000068,80.0,40.0,80.0,0.001663,0.000343
20211015,0.043009,0.013631,0.000066,80.0,40.0,80.0,0.005696,0.002756
20211018,0.042864,0.013800,0.000068,80.0,40.0,80.0,0.000070,-0.000742
20211019,0.042765,0.013710,0.000069,80.0,40.0,80.0,0.009204,0.008517
20211020,0.042550,0.013783,0.000068,60.0,40.0,80.0,0.000357,-0.001120
20211021,0.042132,0.013659,0.000066,60.0,40.0,80.0,0.000069,0.000670
20211022,0.041788,0.013454,0.000065,60.0,40.0,80.0,-0.002179,-0.001304
20211025,0.041426,0.013324,0.000064,60.0,40.0,80.0,0.009572,0.007744
20211026,0.040986,0.012678,0.000064,60.0,20.0,80.0,-0.005389,-0.003124
