"
date","share_sigma_mean
","index_sigma
","rolling_cov_mean
","share_sigma_mean_p
","index_sigma_p
","rolling_cov_mean_p
","inday_pct
","day_pct
"
20210104,0.038346,0.014968,0.000039,40.0,20.0,20.0,0.016673,0.019910
20210105,0.038772,0.015360,0.000040,40.0,20.0,20.0,0.001941,-0.000568
20210106,0.039319,0.015504,0.000044,40.0,20.0,20.0,-0.011773,-0.012772
20210107,0.040014,0.016102,0.000048,40.0,20.0,40.0,-0.020400,-0.023093
20210108,0.041036,0.016435,0.000048,40.0,20.0,40.0,-0.000332,-0.003017
20210111,0.041414,0.016235,0.000052,40.0,20.0,40.0,-0.021816,-0.022876
20210112,0.041022,0.016598,0.000051,40.0,20.0,40.0,0.013712,0.010415
20210113,0.041320,0.016865,0.000053,40.0,20.0,40.0,-0.012821,-0.013098
20210114,0.042003,0.017370,0.000053,40.0,40.0,40.0,0.002709,-0.001277
20210115,0.042283,0.016930,0.000056,60.0,20.0,40.0,0.011612,0.009633
20210118,0.042740,0.016987,0.000062,60.0,20.0,40.0,0.018441,0.017203
20210119,0.043171,0.017550,0.000061,60.0,40.0,40.0,0.000714,0.000293
20210120,0.043322,0.017261,0.000056,60.0,40.0,40.0,0.006235,0.005243
20210121,0.043137,0.016998,0.000057,60.0,20.0,40.0,0.008536,0.007551
20210122,0.043022,0.016945,0.000052,60.0,20.0,40.0,-0.006580,-0.008483
20210125,0.042815,0.016258,0.000055,60.0,20.0,40.0,-0.011203,-0.012681
20210126,0.043004,0.016303,0.000054,60.0,20.0,40.0,-0.009714,-0.013402
20210127,0.042807,0.016373,0.000054,60.0,20.0,40.0,0.002357,0.000760
20210128,0.042885,0.016629,0.000055,60.0,20.0,40.0,-0.006569,-0.015484
20210129,0.043207,0.017013,0.000053,60.0,40.0,40.0,-0.019660,-0.016077
20210201,0.043722,0.016940,0.000048,60.0,20.0,20.0,0.009298,0.005584
20210202,0.043805,0.016773,0.000049,60.0,20.0,20.0,0.007774,0.008111
20210203,0.043680,0.016770,0.000050,60.0,20.0,40.0,-0.013892,-0.016172
20210204,0.043710,0.017186,0.000044,60.0,40.0,20.0,-0.017737,-0.021754
20210205,0.043102,0.016779,0.000045,60.0,20.0,20.0,-0.019060,-0.018091
20210208,0.043038,0.017067,0.000039,60.0,40.0,20.0,0.002364,0.003028
20210209,0.042539,0.016553,0.000044,60.0,20.0,20.0,0.021327,0.022204
20210210,0.042460,0.017052,0.000042,60.0,40.0,20.0,0.005079,0.006218
20210218,0.042232,0.017315,0.000056,40.0,40.0,40.0,0.009752,0.024203
